Год_выпуска,Жанр,Название,Режиссёр,Страна
1981,,Цыганское счастье (фильм),Сергей Никоненко,СССР
1992,"драма, комедия",Цю Цзюй обращается в суд,Чжан Имоу,Китай
1988,"музыкальный фильм, оперетта, мелодрама","Цыганский барон (фильм, 1988)",Виктор Окунцов,СССР
2002,комедия,"Цыпочка (фильм, 2002)",Том Брейди,США
1914,Музыкальная драма,Цыганские романсы,Петр Чардынин,Российская империя
1980,психологическая драма,Цыганские мотивы (фильм),Сэйдзюн Судзуки,Япония
1926,"драма, ,, мелодрама, ,, экранизация","Цыганка Аза (фильм, 1926)",Артур Твардыевич,Польша
1987,Фильм-драма,Цыганка Аза,Григорий Кохан,СССР
1992,боевик,ЦРУ: Операция «Алекса»,Джозеф Мерхи,США
2005,"криминал, драма",Цоци,Гэвин Худ,
1995,фантастика,Цифровой человек (фильм),Филлип Рот,США
2017,комедийная драма,Цирк уродов (фильм),Труди Стайлер,США
1997,драма,"Цирк сгорел, и клоуны разбежались",Владимир Бортко,Россия
2009,драма,Цирк бабочек,Джошуа Вайгель,США
1936,комедия,"Цирк (фильм, 1936)",,СССР
1960,"ужасы, детектив",Цирк ужасов,"Сидни Хайерс, [en]",Великобритания
1972,фильм ужасов,Цирк вампиров,Роберт Янг,Великобритания
2020,"драма, роуд-муви",Цой (фильм),Алексей Учитель,
2010,"драма, военный",Цирк «Колумбия»,Данис Танович,Босния и Герцеговина
1928,трагикомедия,"Цирк (фильм, 1928)",Чарльз Чаплин,США
1966,"приключенческий фильм, военный фильм",«Циклон» начнётся ночью,Ада Неретниеце,СССР
1935,"Комедия положений, /, мюзикл",Цилиндр (фильм),Марк Сэндрич,США
"1965, и, 27 октября, 1965, [1]",драма,Цинциннати Кид,Норман Джуисон,США
1991,трагикомедия,Циники (фильм),Дмитрий Месхиев,СССР
,"фильм ужасов, кинофантастика",Циклоп (фильм),"Деклан О'Брайэн, [1]",США
1957,"ужасы, ,, фантастика",Циклопы (фильм),Берт А. Гордон,США
2014,драма,Цимбелин (фильм),Майкл Алмерейда,США
1995,"Криминально-психологическая, драма, триллер","Церемония (фильм, 1995)",Клод Шаброль,
1993,"детектив, боевик, приключения","Церемония (фильм, 1993)",,США
1971,драма,"Церемония (фильм, 1971)",Нагиса Осима,Япония
1980,"боевик, ,, драма, ,, фантастика","Цепная реакция (фильм, 1980)","Йен Бэрри, [d]",Австралия
1963,комедия,"Цепная реакция (фильм, 1963)",Марсель Блюваль,Франция
,,"Цепная реакция (фильм, 1962)",Иван Правов,СССР
1996,Триллер,"Цепная реакция (фильм, 1996)",Эндрю Дэвис,США
1990,драма,Цзюй Доу,,
1977,,Цену смерти спроси у мёртвых,Калье Кийск,СССР
1975,"фильм о спорте, музыкальный фильм",Центровой из поднебесья,Исаак Магитон,СССР
1998,драма,Центральный вокзал (фильм),Вальтер Саллес,
2012,драма,Центр урагана,Джесси Вульф,США
1946,спортивный фильм,Центр нападения (фильм),,СССР
2010,"боевик, приключенческий фильм, драма, пеплум",Центурион (фильм),Нил Маршалл,
2016,романтическая драма,Центр моего мира,Якоб М. Эрва,Германия
2016,"боевик, триллер, комедия",Ценный груз,Макс Адамс,Канада
1993,"фэнтези, ,, чёрная комедия",Ценности семейки Аддамс,Барри Зонненфельд,США
1991,"Драма, семейный",Цензуру к памяти не допускаю (фильм),Александр Пороховщиков,СССР
,драма,Цена успеха,Робер Аллан Акерман,США
1976,"драма, ,, комедия, ,, мелодрама",Цена счастья,Гасан Сеидбейли,
1956,Фильм нуар,"Цена страха (фильм, 1956)",Эбнер Биберман,США
2017,"фантастика, независимый кинематограф","Цензор (фильм, 2017)",Константин Шелепов,Россия
2013,драма,Цена человека,Паоло Вирдзи,
1987,,Цена справедливости (фильм),Алан Мецгер,США
2011,"триллер, ,, мелодрама",Цена страсти,Мэтью Чепмен,США
1992,"приключенческий фильм, истерн",Цена сокровищ,Сергей Тарасов,
1983,"боевик, фантастика, драма, триллер","Цена риска (фильм, 1983)",Ив Буассе,
2000,"спорт, /, драма",Цена победы,Майкл Корренте,
1960,драма,Цена одного преступления,Ванда Якубовская,ПНР
2005,"триллер, драма, мелодрама",Цена измены,Микаэль Хофстрём,США
1966,Спагетти-вестерн,"Цена жизни (фильм, 1966)",Эухенио Мартин,
2024,"приключенческий фильм, боевик, триллер",Цена денег: Приключение Ларго Винча,"Оливье Массе-Депасс, [d]",
,драма,Цель — Луна,Ричард Дейл (Richard Dale),
"1945, ,, 26 января, 1945, [1], ,, 17 февраля, 1945, [1], ,, 9 марта, 1945, [1], ,, 8 июня, 1945, [1], ,, 2 сентября, 1945, [1], и, 18 июля, 1952, [1]","драма, ,, военный",Цель — Бирма,Рауль Уолш,США
2007,документальный фильм,Цель — Марс,Скотт Дж. Джилл,США
1997,триллер,Целуя девушек,Гэри Фледер,США
1964,"комедия, музыкальный фильм, мелодрама, Саундтрек",Целующиеся кузены,Джин Нельсон,США
1978,комедия,Целуются зори (фильм),Сергей Никоненко,СССР
1929,драма,"Целую вашу руку, мадам (фильм)",Роберт Ланд,Германское государство
1925,комедия,Целуй меня снова,Эрнст Любич,США
1955,"детектив, триллер, нуар",Целуй меня насмерть,Роберт Олдрич,США
2002,"комедия, драма, мелодрама",Целуй кого хочешь,Мишель Блан,
1953,"драма, ,, соцреализм","Целлюлоза (фильм, 1953)",Ежи Кавалерович,Польша
2012,драма,Цезарь должен умереть,Братья Тавиани,Италия
1995,документалистика,Целлулоидный шкаф,,США
1998,"биография, трагикомедия",Целитель Адамс,Том Шедьяк,США
2022,"романтический, фильм ужасов, роуд-муви",Целиком и полностью,Лука Гуаданьино,
1945,"романтическая комедия, драматический фильм","Цезарь и Клеопатра (фильм, 1945)",Гэбриел Паскаль,Великобритания
1970,"музыкальный, ,, фильм-драма","Цветы, слёзы и ревность",Умэцугу Иноуэ,Япония
1994,драма,Цветы провинции (фильм),Дмитрий Зайцев,Белоруссия
,"драма, ,, триллер","Цветы на чердаке (фильм, 2014)",Дебора Чоу,
1958,"драма, комедия",Цветы праздника Хиган,Ясудзиро Одзу,Япония
1987,"драма, ,, триллер","Цветы на чердаке (фильм, 1987)",Джеффри Блум,США
1970,мелодрама,Цветы запоздалые (фильм),Абрам Роом,СССР
1997,"комедия, драма, мелодрама",Цветы любви,Роберт Бирман,Великобритания
1985,драма,Цветы лиловые полей (фильм),Стивен Спилберг,США
1998,драма,Цветы календулы,Сергей Снежкин,Россия
,"драма, фантастика",Цветы для Алджернона (фильм),Давид Дельрие,
2012,"драма, исторический, военный",Цветы войны,Чжан Имоу,Китай
1959,"музыкальная, комедия",Цветок на снегу,Шота Манагадзе,СССР
2014,драматический фильм,"Цветы (фильм, 2014)",,Испания
1939,,Цветущая юность,Александр Иванович Медведкин,СССР
1994,"боевик, ,, триллер",Цветок у дороги,Деран Сарафян,США
1974,"драма, ,, сказка, ,, приключения, ,, эротика, ,, комедия",Цветок тысячи и одной ночи,Пьер Паоло Пазолини,
"20 мая, 2010, [1], ,, 24 сентября, 2009, [2], и, 2009","драма, Биографический фильм",Цветок пустыни (фильм),Шерри Хорман,
1925,мелодрама,Цветок ночи,Пол Берн,США
1941,"драматический фильм, [1], [2], биографический фильм, романтический фильм",Цветы в пыли,Мервин Лерой,США
1962,драма,Цветок на камне,,СССР
1969,комедия,Цветок кактуса (фильм),Джин Сэкс,США
2010,"мистика, ,, мелодрама, ,, триллер",Цветок дьявола,Екатерина Гроховская,Россия
1959,семейный фильм,Цветок в пыли,Яш Чопра,Индия
2006,"комедия, драма","Цветок (фильм, 2006)",Хирокадзу Корээда,Япония
2016,драма,"Цветок (фильм, 2016)",Клаудио Джованнези,Италия
1995,,Цветок моей тайны,Педро Альмодовар,Испания
1966,"драма, ,, боевик, ,, мелодрама, ,, семейный фильм",Цветок и камень,"О. П. Ралхан, [en]",Индия
2003,Драма,Цветок зла,Клод Шаброль,Франция
1960,"детский, ,, драма, ,, семейный",Цветные чулочки,Януш Насфетер,Польша
1974,"детский, семейный","Цветные сны (фильм, 1974)",,СССР
1941,Экранизация,Цветные киноновеллы,Александр Мачерет,СССР
2018,документальный фильм,Цветной сектор,,
,"детский фильм, ,, сказка",Цветик-семицветик (фильм),,СССР
1992,драма,Цветение одуванчика,Александр Игнатуша,Украина
2005,драма,Цветение Максимо Оливероса,Ауреус Солито,Филиппины
1993,драма,Царь горы (фильм),Стивен Содерберг,США
2005,"история, боевик, драма",Царство небесное (фильм),Ридли Скотт,
2019,"Боевик, ,, военный, ,, история, ,, драма","Царство (фильм, 2019)","Синсуке Сато, [en]",Япония
2009,"драма, биография, исторический",Царь (фильм),Павел Лунгин,Россия
1912,,"Царский гнев (фильм, 1912)",Кай Ганзен,Российская империя
1990,"драма, исторический фильм",Царская охота,Виталий Мельников,
2010,религиозно-исторический,Царство Сулеймана,Шахрияр Бахрани,Иран
2010,"криминальный, драма, триллер",Царство животных (фильм),Дэвид Мишо,Австралия
1992,Документальное кино,Царство русского медведя,,Великобритания
1965,опера,Царская невеста (фильм-опера),Владимир Гориккер,СССР
2007,,Царица полей,Aaron Woolf,США
2021,"историческая драма, фильм о Средневековье, [d]",Царица небесная (фильм),"Eli King, [d]",Великобритания
1991,"Историческая, драма, мистика",Цареубийца (фильм),Карен Шахназаров,
,"драматический сериал, мелодрама",Царевна (телесериал),"Halyna Cherniak, [d]",Украина
1916,драма,Цари биржи,Сигизмунд Веселовский [Николай Арбатов?],Российская империя
1997,исторический фильм,Царевич Алексей (фильм),Виталий Мельников,Россия
1974,сказка,Царевич Проша,Надежда Кошеверова,СССР
1929,драматический фильм,Царевич (фильм),,Германия
2019,комедия,"Хэппи-энд (фильм, 2020)",Евгений Шелякин,Россия
2017,драма,"Хэппи-энд (фильм, 2017)",Михаэль Ханеке,
2010,драма,Хэшер,Спенсер Сассер,США
,"Драма, вестерн",Хэтфилды и Маккои (мини-сериал),Кевин Рейнольдс,США
"21 июля, 2017, ,, 24 августа, 2017, [1], ,, 23 июня, 2017, [2], ,, 6 июля, 2017, [2], и, 27 июля, 2017, [2]",,Хэмстед (фильм),Джоэл Хопкинс,Великобритания
1967,комедия,"Хэппи-энд (фильм, 1967)",Олдржих Липский,Чехословакия
2008,"супергеройский фильм, ,, комедия",Хэнкок (фильм),Питер Берг,США
1982,"драма, ,, детектив",Хэммет (фильм),Вим Вендерс,США
2004,"фэнтези, ,, комедия, ,, приключения, ,, семейный",Хэллоуинтаун 3,Марк А.З. Диппе,США
"12 октября, 2001",фэнтези для детей,Хэллоуинтаун 2: Месть Калабара,Мэри Ламберт,США
2020,"комедия, детектив",Хэллоуин Хьюби,Стивен Брилл,США
1998,"фэнтези, ,, комедия, ,, приключения, ,, семейный",Хэллоуинтаун,Дуэйн Данэм,США
2002,"фильм ужасов, слэшер",Хэллоуин: Воскрешение,Рик Розенталь,США
2021,"слэшер, ужасы",Хэллоуин убивает,Дэвид Гордон Грин,США
1977,,Хэллоуин с новой семейкой Аддамс,Дэвид Стейнметц,США
1998,слэшер,Хэллоуин: 20 лет спустя,Стив Майнер,США
2022,слэшер,Хэллоуин заканчивается,Дэвид Гордон Грин,США
2007,"Психологические ужасы, слэшер, триллер, драма, Сплэттер, Криминальный фильм",Хэллоуин 2007,Роб Зомби,США
1989,"фильм ужасов, слэшер",Хэллоуин 5: Месть Майкла Майерса,"Доминик Отенен-Жерар, ru, en",США
"1988, ,, 18 мая, 1989, [1], и, 21 октября, 1988, [2]","фильм ужасов, слэшер",Хэллоуин 4: Возвращение Майкла Майерса,Дуайт Литтл,США
1982,фильм ужасов,Хэллоуин 3: Сезон ведьм,Томми Ли Уоллес,США
1995,"фильм ужасов, слэшер",Хэллоуин 6: Проклятие Майкла Майерса,Джо Шаппелл,США
2009,"фильм ужасов, слэшер","Хэллоуин 2 (фильм, 2009)",Роб Зомби,США
2018,"ужасы, слэшер","Хэллоуин (фильм, 2018)",Дэвид Гордон Грин,США
2018,"документальное кино,, роуд-муви","Хэй, бро!",Александр Элькан,Россия
2016,фильм ужасов,Хэвенхёрст,Эндрю С.Эрин,США
1956,Фильм нуар,Хьюстонская история,Уильям Касл,США
"1981, и, 11 ноября, 1982, [3]",слэшер,"Хэллоуин 2 (фильм, 1981)",Рик Розенталь,США
1978,слэшер,"Хэллоуин (фильм, 1978)",Джон Карпентер,США
"18 июня, 2018","фэнтезийный фильм, фильм-сказка",Хыдыр-деде,Длявер Дваджиев,
1970,"исторический фильм, приключенческий фильм, детский фильм",Хуторок в степи (фильм),Борис Алексеевич Бунеев,СССР
1978,"боевик, комедия",Хупер (фильм),Хэл Нидэм,США
2011,исторический,Хунмэньское празднество (фильм),Дэниэл Ли,Китай
2005,"криминальный фильм, боевик, драма, спортивный фильм","Хулиганы (фильм, 2005)",Лекси Александр,
1951,Фильм нуар,"Хулиган (фильм, 1951)",Макс Носсек,США
2016,фильм-триллер,"Хуже, чем ложь","Синтаро Симосава, [d]",США
1927,"драма, /, мелодрама",Хула (фильм),Виктор Флеминг,США
2003,"комедия, /, криминал",Хуже не бывает,"Гэвин Грейзер, [en]",США
2019,криминальный фильм,Худший брак в Джорджтауне,Кристоф Вальц,США
2004,драма,Художник граффити (фильм),Джеймс Болтон,США
2012,,Художник и его модель,Фернандо Труэба,Испания
1956,документальный,Художник и город,Мануэл де Оливейра,Португалия
2020,документальный фильм,Художник и вор,"Бенджамин Ри, [d]",
1996,"фильм ужасов, /, триллер, мистика, драма",Худеющий (фильм),Том Холланд,США
1979,"боевик, драма",Хрустальный кулак,Хуа Шань,Гонконг
1955,"мюзикл, /, мелодрама","Хрустальный башмачок (фильм, 1955)",Чарльз Уолтерс,США
1939,мелодрама,Хуарес (фильм),Уильям Дитерле,США
1960,фильм-балет,"Хрустальный башмачок (фильм-балет, 1960)",,СССР
2018,комедийная драма,Хрусталь (фильм),Дарья Жук,
1998,драма,"Хрусталёв, машину!",Алексей Герман,
2005,фильм ужасов,Хрупкость (фильм),Жауме Балагеро,
2005,"комедия, /, драма",Хроники обыкновенного безумия (фильм),Петр Зеленка,Чехия
1992,фильм ужасов,"Хронос (фильм, 1993)",Гильермо дель Торо,Мексика
1985,"документальный, абстрактный","Хронос (фильм, 1985)",Рон Фрике,США
2010,"эпическое фэнтези, приключения",Хроники Нарнии: Покоритель Зари,Майкл Эптед,
2008,"фантастика, /, Боевик, /, приключения",Хроники мутантов,Саймон Хантер,США
2016,"драма, мелодрама",Хроники любви,Раду Михайляну,
2013,"триллер, детектив, чёрная комедия",Хроники ломбарда,Уэйн Крэймер,США
2008,эпическое фэнтези,Хроники Нарнии: Принц Каспиан,Эндрю Адамсон,
2005,эпическое фэнтези,"Хроники Нарнии: Лев, колдунья и волшебный шкаф",Эндрю Адамсон,
1995,мелодрама,Хроники из жизни Хайди,Пол Богарт,США
2009,документальный,Хроники грузинского августа,Ия Баратели,Грузия
1989,"драма, военный",Хроники Вьетнамской войны,Патрик Шин Дункан,США
2004,триллер,Хроники (фильм),Себастьян Кордеро,
1964,"фентези, исторический фильм, приключения, комедия",Хроника шута,Карел Земан,Чехословакия
1967,"военный фильм, драма",Хроника пикирующего бомбардировщика,Наум Бирман,СССР
1950,драматический фильм,Хроника одной любви,Микеланджело Антониони,Италия
1965,"драма, детектив",Хроника одного убийства,Йоахим Хаслер,ГДР
1963,,Хроника одного дня,Витаутас Жалакявичюс,СССР
1975,драма,Хроника огненных лет,Мохаммед Лахдар-Хамина,Алжир
1972,,Хроника ночи,Алексей Спешнев,СССР
1966,"фильм-драма, ,, мелодрама",Хроника любви и смерти,Корэёси Курахара,Япония
1972,,Хроника ереванских дней,Фрунзе Довлатян,СССР
2012,"супергероика, ,, фантастика, ,, драма, ,, триллер, ,, псевдодокументальный фильм",Хроника (фильм),Джош Транк,
1978,"боевик, драма",Хромые мстители,Чжан Чэ,Гонконг
1948,"исторический, ,, биографический фильм",Хромой дьявол,Саша Гитри,Франция
1986,"драма, ,, трагикомедия",Хроника любовных происшествий,Анджей Вайда,Польша
1928,драма,Хромой барин (фильм),Константин Эггерт,СССР
1968,биография,Хроника Анны Магдалены Бах,,
1971,боевик,Хром и горячая кожа,"Ли Фрост, ru, en",США
1992,"приключенческий фильм, фильм-биография, драма, исторический фильм",Христофор Колумб: Завоевание Америки,Джон Глен,
1979,"драма, биография",Христос остановился в Эболи (фильм),Франческо Рози,
1987,драма,Христиане (фильм),Дмитрий Золотухин,СССР
1914,драма,Хризантемы (фильм),Пётр Чардынин,Российская империя
2010,иденти,Хребет России,,Россия
2001,"драма, мистика",Хребет дьявола,Гильермо дель Торо,
,"Драма, /, исторический фильм","Хранительницы голубей (телесериал, 2015)",Ив Симоно,США
2005,"драма, приключения, семейный",Хранитель: Легенда об Омаре Хайяме,Кайван Машайех,США
2017,"драматический фильм, экранизация романа, [d]",Хранительницы,Ксавье Бовуа,Франция
1964,фантастика,Хранитель фиолетовых сумерек,Чарльз Хаас,США
1943,драма,Хранитель пламени (фильм),Джордж Кьюкор,США
2001,"фильм ужасов, кинокомедия",Хранитель душ,Дэрин Ферриола,США
1991,"боевик, криминальный фильм, триллер",Хранитель города (фильм),Бобби Рот,США
2011,приключенческий фильм,Хранитель времени (фильм),Мартин Скорсезе,США
2009,боевик,"Хранитель (фильм, 2009)",Киони Ваксман,США
2004,"криминальная драма, триллер","Хранитель (фильм, 2004)",Пол Линч,
1991,фэнтези,Хранители (телеспектакль),Наталья Серебрякова,СССР
1975,драматический фильм,Храни свою звезду,Шарип Бейсембаев,СССР
1986,мелодрама,"Храни меня, мой талисман",Роман Балаян,СССР
1982,боевик,"Храм Шаолиня (фильм, 1982)",Чжан Синьянь,Гонконг
2009,"супергеройский фильм, ,, экшн, ,, научная фантастика, ,, альтернативная история, ,, триллер",Хранители (фильм),"Зак Снайдер, [3], [4], […]",США
1976,"боевик, исторический фильм","Храм Шаолиня (фильм, 1976)",,Гонконг
1962,фильм-драма,Храм Диких Гусей,Юдзо Кавасима,Япония
1988,драма,Храм любви (фильм),К. Бапайя,Индия
1994,романтическая комедия,Хочу жениться на дочери миллионера,"Раджкумар Сантоши, [d]",Индия
1989,драма,Храм воздуха,Расим Оджагов,СССР
1991,мелодрама,Храбрых сердцем не сломить,Стив Майнер,США
2011,"фэнтези, ,, комедия",Храбрые перцем,Дэвид Гордон Грин,США
1946,"Приключения, ,, драма, ,, семейный фильм",Храбрость Лесси,Фред М. Уилкокс,США
1995,историческая драма,Храброе сердце (фильм),Мел Гибсон,США
"10 января, 2013, [1], [2], и, 28 ноября, 2013, [3]","семейный, анимация",Храброе сердце (мультфильм),,Германия
1983,комедия,Хочу жениться,Джахангир Мехтиев,СССР
1965,"драма, экранизация",Хочу верить,Николай Мащенко,СССР
1992,комедия,Хочу вашего мужа,Сергей Никоненко,
1998,комедия,Хочу в тюрьму,Алла Сурикова,
2014,Романтическая комедия,Хочешь или нет?,Тони Маршаль,Франция
1992,"драма, криминальный фильм, биографический фильм",Хоффа (фильм),Дэнни Де Вито,
2013,"Музыкальная, комедия-драма",Хоть раз в жизни,"Джон Карни, (англ.), (, рус.",США
2006,"комедия, приключения, фантастика",Хоттабыч (фильм),,Россия
1964,комедия,"Хотите — верьте, хотите — нет…",,СССР
1973,комедия,Хотим полковников,Марио Моничелли,Италия
1991,"комедия, ,, мелодрама, ,, фэнтези",Хотеть летать,,Италия
2011,"фильм ужасов, ,, триллер",Хостел 3,Скотт Шпигель,США
2014,"комедия, драма",Хотел бы я быть здесь,Зак Брафф,США
2007,"фильм ужасов, [2], [3], […], фильм-триллер, ЛГБТ-фильм, [d], слэшер, [4], сплэттер",Хостел 2,Элай Рот,США
2005,ужасы,Хостел (фильм),Элай Рот,
2010,эротическая мелодрама,Хочу в Голливуд,Бигас Луна,Испания
1986,"комедия, ,, сатира",Хорошо сидим!,Мунид Закиров,СССР
1981,"мелодрама, /, комедия",Хорошо в первый раз,Брюс Бересфорд,Австралия
2012,"драма, мелодрама, Рок, ,, поп-рок, ,, софт-рок, ,, поп, ,, нью-вейв",Хорошо быть тихоней,Стивен Чбоски,США
"16 сентября, 2021","боевик, триллер","Хороший, плохой, коп",Джо Карнахан,США
2008,"боевик, вестерн, комедия","Хороший, плохой, долбанутый",Ким Чжи Ун,Республика Корея
1915,"романтический фильм, немое кино, драматический фильм",Хорошенькая сестра Хосе,Аллан Двон,США
1966,спагетти-вестерн,"Хороший, плохой, злой",Серджо Леоне,
1971,"комедия, ,, детектив","Хорошенькие девушки, станьте в ряд",Роже Вадим,США
2014,"фильм-триллер, военный фильм, драматический фильм",Хорошее убийство,Эндрю Никкол,США
2017,"криминальная, драма",Хорошее время,,США
1983,"романтическая комедия, фэнтезийный фильм",Хорошая пара,"Джон Херцфелд, [d], [1], [2]",США
,,Хорошая мать,,США
2007,Документальный,Хорошая копия плохая копия,,Дания
,"исторический, ,, военный, ,, драма",Хорнблоуэр: Бунт,Эндрю Грив,Великобритания
2007,"драма, приключения","Хоровод (фильм, 2007)",Ежи Штур,Польша
2004,"Мелодрама, ,, комедия",Хорошая женщина (фильм),Майк Баркер,
2002,комедия-драма,Хорошая девочка (фильм),Мигель Артета,США
1949,"романтика, мюзикл",Хористки,,США
"25 ноября, 1953","вестерн, драма",Хондо (фильм),Джон Фэрроу,США
2004,драма,Хористы,Кристоф Барратье,
2011,"Документальный, Музыкальный, поп-рок",Хор: Живой концерт в 3D,Кевин Танчароен,США
1986,Боевик,Хон Гиль Дон (фильм),Ким Гирин,КНДР
2020,"комедийный фильм, романтический фильм",Холостяк на свадьбе,Лоран Тирар,Франция
2012,"Комедия, драма",Холостячки,Лесли Хэдланд,США
2010,,Холостые выстрелы,Ферзан Озпетек,Италия
1999,"комедия, /, мелодрама","Холостяк (фильм, 1999)",Гари Синьор,США
1988,"драма,, телеспектакль",Холопы (телеспектакль),,СССР
1990,драма,"Холостяк (фильм, 1990)",Роберто Фаэнца,
1977,драма,Хомут для Маркиза,Илья Фрэз,СССР
2024,комедия,Холоп 2,Клим Шипенко,Россия
2019,комедия,Холоп (фильм),Клим Шипенко,Россия
2013,документальный,Холокост — клей для обоев?,Мумин Шакиров,Россия
1969,"триллер, драма",Холодным днём в парке,Роберт Олтмен,
,"драма, исторический",Холокост (мини-сериал),Марвин Чомски,США
1969,драма,Холодным взором,Хаскелл Векслер,США
1991,"кинокомедия, музыкальный фильм, мелодрама","Холодный, как лёд",Дэвид Келлогг,США
2021,,Холодный расчёт,Пол Шредер,
1992,"драма, /, триллер",Холодный рай,Николас Роуг,США
2016,"триллер, ,, мелодрама",Холодный фронт (фильм),Роман Волобуев,
1970,"боевик, криминальный фильм, драма, триллер","Холодный пот (фильм, 1970)",Теренс Янг,
,драма,Холодный как лето,Жак Майло,Франция
1958,"Приключенческий фильм, Мелодрама, Фильм нуар",Холодный ветер в Эдеме,Ричард Уилсон,США
1962,психологическая драма,Холодные следы,Арне Скуэн,Норвегия
1964,фантастика,Холодные руки и горячее сердце,Чарльз Хаас,США
1989,комедия,Холодные ноги,Роберт Дорнхельм,США
1979,чёрная комедия,Холодные закуски (фильм),Бертран Блие,Франция
1966,"драма, экранизация",Холодные дни,Андраш Ковач,Венгрия
2024,"экранизация романа, [d], фильм-триллер",Холодное хранилище,"Джонни Кэмпбелл, [d]",США
2017,"военный фильм, ,, драма, ,, мелодрама, ,, история, ,, экранизация",Холодное танго,Павел Чухрай,Россия
1987,драма,Холодное лето пятьдесят третьего…,Александр Прошкин,СССР
2021,"истерн, ,, боевик",Холодное золото,Пётр Хики,Россия
1971,мелодрама,Холодно — горячо,Николай Розанцев,СССР
2010,"триллер, мистика",Холодная погода,Аарон Кац,США
2018,"драма, мелодрама","Холодная война (фильм, 2018)",Павел Павликовский,
2015,драма,Холод Каландара,Мустафа Кара,Турция
1997,"криминальное кино, триллер, драма",Холод в сердце,Джон Ридли,"США, США"
2014,"нео-нуарный, триллер",Холод в июле (фильм),Джим Микл,США
2007,,"Холод (фильм, 2007)",Серж Роднунски,США
1991,"драма, исторический фильм","Холод (фильм, 1991)",Хусейн Эркенов,СССР
1994,,Холодная вода,Оливье Ассаяс,Франция
1959,"драма, военный фильм, триллер",Холмы гнева (фильм),Роберт Олдрич,Великобритания
2018,"комедия, детектив",Холмс & Ватсон,Итан Коэн,США
2023,драматический фильм,"Холли (фильм, 2023)","Фин Трох, [1]",
,фильм-триллер,"Холланд, Мичиган","Мими Кейв, [d]",США
2023,спортивный фильм,Хоккейные папы,Андрей Булатов,Россия
,"драма, спорт, фильм-биография",Хоккейные игры (фильм),Ксения Кондрашина,Россия
,"драма, биография",Хокинг (фильм),"Филип Мартин, [en]",Великобритания
1965,драма,"Холм (фильм, 1965)",Сидни Люмет,Великобритания
2006,драма,"Холли (фильм, 2006)",Гай Моше,
1964,драма,Хоккеисты (фильм),Рафаил Гольдин,СССР
,мелодрама,Хозяйка Медвежьей речки,Владимир Храмов,СССР
1992,"Комедия, ,, Мелодрама",Хозяйка дома,Фрэнк Оз,США
1983,мелодрама,Хозяйка детского дома,Валерий Кремнёв,СССР
1980,кинокомедия,"Хозяйка гостиницы (фильм, 1980)",Паоло Кавара,Италия
1956,комедия,"Хозяйка гостиницы (фильм, 1956)",Михаил Названов,СССР
1968,детективный фильм,Хозяин тайги,Владимир Назаров,СССР
1975,"драма, /, мелодрама","Хозяйка (фильм, 1975)",Барбе Шрёдер,Франция
2003,"боевик, приключения, драма, военный фильм",Хозяин морей: На краю земли,Питер Уир,США
,приключенческий фильм,"Хозяин Баллантрэ (фильм, 1984)",Дуглас Хикокс,
"21 октября, 1963, [1]","драма, комедия",Хозяин дома,Джеймс Айвори,Индия
1953,"боевик, приключенческий фильм, исторический фильм, мелодрама","Хозяин Баллантрэ (фильм, 1953)",Уильям Кайли,США
2023,драма,"Хозяин (фильм, 2023)",Юрий Быков,Россия
2007,"триллер, ,, драма",Хозяева ночи,Джеймс Грэй,США
1959,"историческая, драма, историческая, драма, ,, военный фильм, историческая, драма, ,, военный фильм",Хождение по мукам (фильм),Григорий Рошаль,СССР
1970,"киноповесть, ,, драма","Хозяин (фильм, 1970)",Михаил Ершов,СССР
1958,"историко-биографический, экранизация",Хождение за три моря (фильм),,
2002,фильм ужасов,Ходячие трупы (фильм),Чак Боуман,США
2005,"семейная комедия, ,, мелодрама",Ходят слухи,Роб Райнер,
2011,"документальный, биографический, драма",Ходорковский (фильм),Кирилл Туши,Германия
2012,"военный фильм, ,, драма",Ходжа (фильм),Вахид Мустафаев,Азербайджан
"4 сентября, 1992, [2], ,, 16 января, 1992, [3], [2], и, 22 января, 1993, [2]","триллер, детектив","Ход конём (фильм, 1992)",Карл Шенкель,
1962,,"Ход конём (фильм, 1962)",Татьяна Лукашевич,СССР
,"драма, ,, военно-исторический фильм","Хождение по мукам (телесериал, 1977)",Василий Ордынский,СССР
1987,"научно-популярный, артхаус",Ход вещей,,
1971,"спортивный фильм, мелодрама",Ход белой королевы (фильм),Виктор Садовский,СССР
1959,фильм-опера,Хованщина (фильм-опера),Вера Строева,СССР
2015,,Хлоя и Тео,Эзна Сэндс,США
2002,документальный,Хлеммюр,Оулавюр Свейнссон,Исландия
2015,драматический фильм,Хлорка (фильм),"Lamberto Sanfelice, [d]",Италия
2009,"психологическая, драма, эротический, триллер","Хлоя (фильм, 2009)",Атом Эгоян,
1977,комедия,"Хлеб, масло и варенье",Джорджо Капитани,Италия
1970,"боевик, /, комедия",Хлопок прибывает в Гарлем,Осси Дэвис,США
1955,"комедийный фильм, [1], [2]","Хлеб, любовь и…","Дино Ризи, [2]",
1953,Романтическая комедия,"Хлеб, любовь и фантазия",Луиджи Коменчини,Италия
1954,романтическая комедия,"Хлеб, любовь и ревность","Луиджи Коменчини, [1], [2], […]",Италия
1930,драма,Хлеб (фильм),Николай Шпиковский,СССР
