Год_выпуска,Жанр,Название,Режиссёр,Страна
1970,"драма, ,, исторический",Аксели и Элина,Эдвин Лайне,Финляндия
1987,"комедийный, детектив",Акселератка,Алексей Коренев,СССР
1973,мелодрама,"Алая буква (фильм, 1973)",Вим Вендерс,
1926,драма,"Алая буква (фильм, 1926)",Виктор Шёстрём,США
1911,драматический фильм,"Алая буква (фильм, 1911)",,США
2007,драма,Александра (фильм),Александр Сокуров,Россия
2008,"исторический фильм, боевик",Александр. Невская битва,Игорь Калёнов,Россия
1942,,Александр Пархоменко (фильм),Леонид Луков,СССР
1981,"драма, ,, военный",Александр Маленький,Владимир Фокин,
2014,"комедийный фильм, [2], [3], […], детский фильм, экранизация","Александр и ужасный, кошмарный, нехороший, очень плохой день",Мигель Артета,США
1956,"пеплум, ,, байопик","Александр Великий (фильм, 1956)",Роберт Россен,
2004,"биографическая, драма, ,, исторический фильм, ,, пеплум",Александр (фильм),Оливер Стоун,
2003,"комедия, /, мелодрама",Алекс и Эмма,Роб Райнер,США
1949,кинобиография,Александр Попов (фильм),,СССР
1938,"киноэпопея, драма, военный, исторический",Александр Невский (фильм),,СССР
2010,"драматический фильм, [1], [2], романтический фильм",Албанец (фильм),"Иоганнес Набер, [d], [1], [2], […]",
1963,"Криминальная, драма, ,, нуар","Алая роза (фильм, 1963)",Умэцугу Иноуэ,Япония
1953,,Алеко (фильм-опера),Сергей Сиделёв,СССР
1912,"комедия, мелодрама",Алджи-золотоискатель,Эдвард Уоррен,США
1920,"фантастика, драма",Алголь (фильм),Ханс Веркмайст,Германия
1951,,"Алая роза (фильм, 1951)",Марчелло Пальеро,Франция
1964,,Алая камелия,Ёситаро Номура,Япония
1969,комедия,Алая женщина,Жан Валер,
2004,Драма,"Алая буква (фильм, 2004)",Пён Хёк,Республика Корея
1995,"драма, /, мелодрама","Алая буква (фильм, 1995)",Ролан Жоффе,США
2016,драматический фильм,"Али и Нино (фильм, 2016)",Асиф Кападиа,
2002,"Фарсовая, комедия, сатира",Али Джи в парламенте,Марк Майлод,
"21 сентября, 2017, ,, 22 сентября, 2017, ,, 2 октября, 2017, и, 9 сентября, 2017",драматический фильм,Аланис (фильм),"Анаи Бернери, [d], [1]",Аргентина
2001,"драма, биография, спорт",Али (фильм),Майкл Манн,США
"2013, [1]",комедия,Алан Партридж: Альфа Отец,Деклан Лоуни,
2004,"Драма, исторический фильм, военный фильм, вестерн",Аламо (фильм),Джон Ли Хэнкок,США
"1974, и, 17 мая, 1974, [1]",драма,Алиса в городах,Вим Вендерс,Германия
,"фэнтези, приключения, семейный","Алиса в Зазеркалье (фильм, 1998)",Джон Хендерсон,Великобритания
1903,фэнтези,"Алиса в Стране чудес (фильм, 1903)",,Великобритания
2002,драма,"Алиса (фильм, 2002)",Sylvie Ballyot,
1925,кинокомедия,Алиса и укус пчелы,Уолт Дисней,США
1992,"мелодрама, приключения",Алиса и Букинист,Алексей Рудаков,Россия
1974,"драма, ,, романтика, ,, трагикомедия",Алиса здесь больше не живёт,Мартин Скорсезе,США
2010,"фэнтези, приключения, семейный, Оркестр, ,, классическая музыка, ,, поп-музыка","Алиса в Стране чудес (фильм, 2010)",Тим Бёртон,США
2016,"фэнтези, приключения, семейный фильм, оркестровая музыка, ,, поп-рок","Алиса в Зазеркалье (фильм, 2016)","Джеймс Бобин, ru, en",США
,"фэнтези, семейный фильм, приключенческий фильм","Алиса в Стране чудес (фильм, 1999)",Ник Уиллинг,
1951,"музыкальный фильм, мелодрама",Американец в Париже (фильм),Винсент Миннелли,США
2010,Криминальная драма,"Америка (фильм, 2010)",Жуан Нуно Пинту,
2022,драматический фильм,"Американец (фильм, 2022)","Майкл А. Гурджиан, [d]",Армения
2010,"драма, /, криминальный фильм","Американец (фильм, 2010)",Антон Корбейн,США
1983,драма,Американа (фильм),Дэвид Кэррадайн,США
1963,"драма, ,, мистика","Америка, Америка",Элиа Казан,США
1970,драма,Американский солдат,Райнер Вернер Фасбиндер,ФРГ
1986,постапокалиптика,Америка-3000,Дэвид Энгельбах,США
1989,"ужасы, /, триллер",Амитивилль 4: Зло спасается,Сэндэр Стерн,США
1983,"ужасы, /, триллер",Амитивилль 3-D,Ричард Флейшер,
1982,"ужасы, /, триллер",Амитивилль 2: Одержимость,Дамиано Дамиани,
2002,Драма,"Аминь (фильм, 2002)",Коста-Гаврас,
1992,"детективный фильм, боевик, триллер",Америкэн бой,Борис Квашнёв,Украина
1992,драма,Американцы (фильм),Джеймс Фоули,США
1997,"историческая, драма",Амистад (фильм),"Стивен Спилберг, [2], [3], […]",США
"8 сентября, 2023, и, 3 ноября, 2023",драматический фильм,Американское чтиво,"Корд Джефферсон, [d]",США
1992,драма,Американское сердце,Мартин Белл,США
,"драма, ,, детектив",Американское преступление (фильм),Томми О’Хейвер,США
1932,драматический фильм,Американское безумие,Фрэнк Капра,США
"1995, [2]","комедия, драма",Американский президент (фильм),Роб Райнер,США
1992,боевик,Американский самурай,Сэм Ферстенберг,США
2000,"криминал, чёрная комедия, триллер, [1]",Американский психопат (фильм),Мэри Хэррон,
2002,"Чёрная комедия, [1], ,, слэшер, [2], [3]",Американский психопат 2,Морган Дж. Фриман,США
2003,кинокомедия,Американский пирог: Свадьба,Джесси Дилан,США
2020,комедия,Американский пирог представляет: Правила для девочек,Майк Эллиот,США
2009,комедия,Американский пирог 7: Книга любви,Джон Путч,
2007,кинокомедия,Американский пирог 6: Переполох в общаге,Эндрю Уоллер,
2006,кинокомедия,Американский пирог 5: Голая миля,Джо Нуссбаум,
2005,"комедия, подростковый фильм, комедийный фильм, [5], [6], романтическая комедия",Американский пирог 4: Музыкальный лагерь,Стив Рэш,США
2001,Комедия,Американский пирог 2,Джеймс Роджерс,США
2012,комедия,Американский пирог: Все в сборе,,США
"1937, ,, 27 октября, 1937, [1], и, 5 ноября, 1937, [1]","драма, ,, мелодрама","Ангел (фильм, 1937)",Эрнст Любич,США
1960,"драма, экранизация","Анафема (фильм, 1960)",Сергей Гиппиус,
2001,драма,Анатомия порока,Джозеф Братсмэн,США
2023,драма,Анатомия падения,Жюстин Трие,Франция
2003,драматический фильм,Анатомия любви 2,Говинд Менон,Индия
1980,"фантастика, ,, боевик, ,, триллер",Ангар 18,Джеймс Л. Конуэй,США
1959,юридическая драма,Анатомия убийства,Отто Премингер,США
,документальное кино,Анатомия протеста,,Россия
1934,"драматический фильм, экранизация литературного произведения, [d]",Анжель (фильм),Марсель Паньоль,Франция
2013,"мелодрама, приключения","Анжелика, маркиза ангелов (фильм, 2013)",Ариель Зейтун,Франция
1962,"детский, экранизация",Анечка идёт в школу,Милан Вошмик,Чехословакия
2013,,"Анна Каренина (телесериал, 2013)",Кристиан Дюгей,
1968,"экранизация, приключенческий фильм, мелодрама",Анжелика и султан,Бернар Бордери,
1966,"экранизация, приключенческий фильм, мелодрама, исторический фильм",Анжелика и король,Бернар Бордери,
1965,"экранизация, приключенческий фильм, мелодрама",Анжелика в гневе,Бернар Бордери,
8 декабря 1964,"экранизация, приключенческий фильм, мелодрама",Анжелика — маркиза ангелов,Бернар Бордери,
2015,"комедия, драма",Антураж (фильм),Даг Эллин,США
1947,,Антуан и Антуанетта,Жак Беккер,Франция
1980,фильм ужасов,Антропофаг (фильм),Джо Д'Амато,Италия
2016,,Антропоид (фильм),"Шон Эллис, (англ.), (, рус.",
1971,"социальная драма,  производственный фильм",Антрацит (фильм),Александр Сурин,СССР
1924,"фэнтезийный фильм, немое кино",Антракт (фильм),Рене Клер,Франция
1916,,Антошу корсет погубил,Эдвард Пухальский,Российская империя
1942,"военный фильм, комедия",Антоша Рыбкин,Константин Юдин,СССР
2015,"драма, ,, биография, ,, исторический",Антон Чехов (фильм),Рене Фере,Франция
2012,документальное кино,Антон тут рядом,Любовь Аркус,Россия
1974,документальный,Антония: Портрет женщины,,США
1995,"драма, ,, комедия",Антония (фильм),Марлен Горрис,
1972,мелодрама,"Антоний и Клеопатра (фильм, 1972)",Чарлтон Хестон,Великобритания
1908,"короткометражный, ,, драма","Антоний и Клеопатра (фильм, 1908)",Чарльз Кент,США
1932,комедия,"Антон Шпелец, снайпер",Мартин Фрич,Чехословакия
"1993, [1]","мистика, драма",Антифауст,Георг Фризен,
2005,"триллер, ,, ужасы, ,, драма","Антитела (фильм, 2005)",Кристиан Альварт,Германия
2001,Исторический,Антимоз Ивериели (фильм),Гиули Чохонелидзе,Грузия
1941,комедия,Антон Иванович сердится,Александр Ивановский,СССР
1915,,"Антихрист (фильм, 1915)",Эдвард Пухальский,Российская империя
1964,драма,Антисекс (фильм),,
2009,"Боевик, Детектив",Антикиллер Д. К.,Эльдар Салаватов,Россия
"18 мая, 2009, ,, 18 ноября, 2010, [2], и, 10 сентября, 2009, [3]","драма, ужасы","Антихрист (фильм, 2009)",Ларс фон Триер,
